well_number,wl_id,latitude,longitude
MORR_0052203,484632,45.70659796,-119.81375705
MORR_0052204,484633,45.70659796,-119.81375705
MORR_0052205,484634,45.70659796,-119.81375705
MORR_0052206,484635,45.70659796,-119.81375705
MORR_0052207,484636,45.70659796,-119.81375705
MORR_0052208,484637,45.70659796,-119.81375705
MORR_0052209,484638,45.70659796,-119.81375705
MORR_0052210,484671,45.81672871,-119.71594633
MORR_0052211,484853,45.82263294,-119.65159165
MORR_0052215,486820,45.85544358,-119.60486068
MORR_0052216,486821,45.85544358,-119.60486068
MORR_0052217,486822,45.85544358,-119.60486068
MORR_0052218,486823,45.85544358,-119.60486068
MORR_0052219,486824,45.85544358,-119.60486068
MORR_0052220,486825,45.85544358,-119.60486068
MORR_0052221,486826,45.85544358,-119.60486068
MORR_0052222,486827,45.85544358,-119.60486068
MORR_0052223,486828,45.85544358,-119.60486068
MORR_0052224,486829,45.85544358,-119.60486068
MORR_0052225,486830,45.85544358,-119.60486068
MORR_0052226,486831,45.85544358,-119.60486068
MORR_0052227,486832,45.85544358,-119.60486068
MORR_0052228,486833,45.85544358,-119.60486068
MORR_0052229,486834,45.85544358,-119.60486068
MORR_0052230,486835,45.85544358,-119.60486068
MORR_0052231,486836,45.85544358,-119.60486068
MORR_0052232,486837,45.85544358,-119.60486068
MORR_0052233,486838,45.85544358,-119.60486068
MORR_0052234,486839,45.85544358,-119.60486068
MORR_0052235,486986,45.81967,-119.71053
MORR_0052240,490905,45.90117,-119.53351
MORR_0052247,492206,45.82841,-119.77009
MORR_0052248,492276,45.8484,-119.62189
MORR_0052249,492277,45.83853,-119.60075
MORR_0052255,493987,45.89813296,-119.51604116
MORR_0052263,494627,45.7029671,-119.8137347
MORR_0052271,495305,45.89725,-119.50936
MORR_0052272,495912,45.82011,-119.71097
MORR_0052280,499910,45.82993,-119.65697
MORR_0052281,500106,45.82626512,-119.64640805
MORR_0052283,501100,45.82529,-119.79571
MORR_0052289,503447,45.82783,-119.65981
MORR_0052290,503736,45.83101,-119.65628
MORR_0052291,503738,45.8283,-119.65837
MORR_0052293,505701,45.74740506,-119.56663465
MORR_0052294,505786,45.748578,-119.5704
MORR_0052295,505787,45.748525,-119.570385
MORR_0052296,505788,45.748429,-119.570483
MORR_0052297,505789,45.748484,-119.570428
MORR_0052298,505790,45.748358,-119.570385
MORR_0052299,505791,45.748356,-119.568425
MORR_0052300,505792,45.748416,-119.568487
MORR_0052301,505795,45.748697,-119.569069
MORR_0052302,505796,45.748843,-119.569112
MORR_0052303,505797,45.748874,-119.560514
MORR_0052304,505798,45.748903,-119.56058
MORR_0052305,505799,45.748928,-119.560648
MORR_0052314,508291,45.733693,-119.57719
MORR_0052315,508293,45.7471,-119.56651
MORR_0052316,508391,45.890577,-119.507603
MORR_0052332,509915,45.670477,-119.782489
MORR_0052333,509916,45.671588,-119.796469
MORR_0052334,509917,45.67536,-119.7943
MORR_0052335,509918,45.677169,-119.795445
MORR_0052336,509919,45.69568814,-119.80850381
MORR_0052337,509920,45.694525,-119.808732
MORR_0052345,511019,45.69415,-119.46427
MORR_0052346,511020,45.69277,-119.48583
MORR_0052347,511021,45.731909,-119.518588
MORR_0052348,511022,45.73412,-119.46972
MORR_0052349,511023,45.74832,-119.46549
MORR_0052351,514482,45.732806,-119.559988
MORR_0052387,517114,45.7223,-119.8744
MORR_0052391,518756,45.865969,-119.536648
MORR_0052394,519442,45.7150553,-119.4552293
MORR_0052395,519443,45.73412,-119.46972
MORR_0052396,519444,45.7045544,-119.5064163
MORR_0052397,519445,45.7336136,-119.4992027
MORR_0052398,519446,45.69415,-119.46427
MORR_0052399,519452,45.69415,-119.46427
MORR_0052400,519453,45.733916,-119.4453225
MORR_0052401,520062,45.825697,-119.648833
MORR_0052402,520496,45.86256236,-119.64663166
MORR_0052403,520497,45.85892376,-119.64664263
MORR_0052404,520498,45.86257214,-119.64145476
MORR_0052405,520499,45.86981531,-119.62060079
MORR_0052406,520500,45.87710291,-119.60977457
MORR_0052408,522346,45.830052,-119.655124
MORR_0052410,523635,45.81683467,-119.79026757
MORR_0052440,526661,45.8223,-119.66346
MORR_0052441,526708,45.84065,-119.60189
MORR_0052442,527156,45.82939,-119.65689
MORR_0052443,527240,45.83081,-119.65571
MORR_0052444,529333,45.81889603,-119.70824347
MORR_0052445,529335,45.82985072,-119.68772253
MORR_0052446,529549,45.82609,-119.721668
MORR_0052447,530391,45.887726,-119.490435
MORR_0052450,531511,45.83045,-119.65788
MORR_0052452,532069,45.909231,-119.543593
MORR_0052453,533466,45.74567172,-119.52891612
MORR_0052454,533584,45.8307,-119.65772
MORR_0052455,533677,45.81847,-119.72074
MORR_0052457,534893,45.904373,-119.531273
MORR_0052458,535285,45.87176,-119.49974
MORR_0052461,538007,45.90279478,-119.43471224
MORR_0052463,538382,45.819054,-119.682972
MORR_0052464,538704,45.82879,-119.65742
MORR_0052465,538778,45.81557477,-119.76227295
MORR_0052467,538946,45.79583333,-119.53833333
MORR_0052473,542034,45.88469,-119.53443188
MORR_0052474,542186,45.90240658,-119.53993711
MORR_0052475,542879,45.88843066,-119.50239563
MORR_0052478,543320,45.80729989,-119.45759511
MORR_0052480,543810,45.864047,-119.620874
MORR_0052481,543811,45.859849,-119.658156
MORR_0052482,543812,45.820171,-119.663002
MORR_0052483,543813,45.8075,-119.674139
MORR_0052484,543814,45.806756,-119.652599
MORR_0052485,543827,45.84555556,-119.67002778
MORR_0052486,543829,45.806406,-119.674174
MORR_0052487,544821,45.81555631,-119.76751236
MORR_0052495,551904,45.827276,-119.666376
MORR_0052496,551934,45.85893614,-119.65702056
MORR_0052497,551935,45.85529914,-119.64665354
MORR_0052498,551936,45.85892926,-119.65183351
MORR_0052499,551937,45.85892376,-119.64664263
MORR_0052500,551938,45.85530607,-119.65185129
MORR_0052501,551939,45.85892926,-119.65183351
MORR_0052502,551940,45.85892926,-119.65183351
MORR_0052503,551943,45.89919569,-119.5291058
MORR_0052508,554938,45.89397013,-119.49639273
MORR_0052509,554939,45.87022563,-119.53435919
MORR_0052511,558333,45.82040949,-119.67503898
MORR_0052512,558553,45.85766667,-119.6317251
MORR_0052513,559406,45.8847495,-119.51819719
MORR_0052514,559783,45.86259306,-119.63627254
MORR_0052515,559784,45.86259306,-119.63627254
MORR_0052517,560582,45.83638,-119.618659
MORR_0052518,560583,45.836612,-119.618929
