well_number,wl_id,latitude,longitude
MORR_0053058,620635,45.8227598,-119.6891899
MORR_0053091,623331,45.61766325,-119.43872642
MORR_0053093,623703,45.8203511,-119.676216
MORR_0053098,624239,45.61044996,-119.4483099
MORR_0053106,624528,45.8627332,-119.6170881
MORR_0053107,624529,45.8638971,-119.6152742
MORR_0053108,624530,45.8627734,-119.6153155
MORR_0053109,624531,45.8638542,-119.6171028
MORR_0053212,627420,45.761527,-119.828654
MORR_0053219,627565,45.61853699,-119.45436294
MORR_0053222,627952,45.723777,-119.491329
MORR_0053249,630338,45.90056849,-119.4370837
MORR_0053253,630739,45.8739307,-119.4969254
UMAT_0000440,247541,45.68286084,-119.38395549
UMAT_0000443,253242,45.6825881,-119.39344818
UMAT_0000445,247543,45.6698498,-119.39445874
UMAT_0000449,254541,45.66823265,-119.38284534
UMAT_0000450,247545,45.67553605,-119.39331049
UMAT_0000462,254377,45.62243696,-119.40904217
UMAT_0000465,247549,45.62607639,-119.4330182
UMAT_0000471,254443,45.68242975,-119.30028575
UMAT_0001166,247997,45.70488247,-119.37712277
UMAT_0001173,252614,45.76984392,-119.25054605
UMAT_0001184,248006,45.77571628,-119.37041975
UMAT_0001187,252924,45.75191912,-119.3369096
UMAT_0001205,248016,45.73920487,-119.36013652
UMAT_0001207,252577,45.72644998,-119.36239061
UMAT_0001220,252589,45.71149193,-119.32581556
UMAT_0001222,248023,45.71188218,-119.36237454
UMAT_0001543,248252,45.81003752,-119.42148463
UMAT_0001544,248253,45.8100309,-119.42527309
UMAT_0001558,252674,45.7937436,-119.388908
UMAT_0001581,252685,45.78493013,-119.3777598
UMAT_0001584,252688,45.79079346,-119.38833843
UMAT_0001997,248506,45.84250484,-119.32133447
UMAT_0002005,248508,45.83718331,-119.32919325
UMAT_0002041,253742,45.83858582,-119.30744911
UMAT_0002045,248530,45.84652517,-119.3016067
UMAT_0002388,248701,45.809986,-119.355373
UMAT_0002476,253875,45.81095778,-119.32586617
UMAT_0002489,248748,45.81352289,-119.32137414
UMAT_0002528,248770,45.81303958,-119.25904868
UMAT_0002603,248816,45.79252506,-119.35472779
UMAT_0002614,253858,45.78693591,-119.34025584
UMAT_0002624,253827,45.78455641,-119.32145141
UMAT_0003315,252353,45.90092988,-119.42170786
UMAT_0003343,249307,45.9284385,-119.27972905
UMAT_0003399,252421,45.90090061,-119.29691607
UMAT_0003439,252457,45.88093153,-119.28908917
UMAT_0003446,252877,45.88796,-119.29944
UMAT_0003547,249432,45.87733458,-119.30471087
UMAT_0003598,253172,45.87255,-119.28887
UMAT_0005979,251075,45.85123076,-119.26675651
UMAT_0005980,251076,45.81184262,-119.33433479
UMAT_0005988,251084,45.87621613,-119.28157986
UMAT_0005991,251087,45.8189156,-119.31876447
UMAT_0006002,251098,45.87732306,-119.29428882
UMAT_0006010,251106,45.69494439,-119.27988398
UMAT_0006018,251113,45.8844293,-119.26295137
UMAT_0006029,251123,45.90627261,-119.40870517
UMAT_0006036,251130,45.79387484,-119.37034022
UMAT_0006045,251139,45.90985253,-119.3879006
UMAT_0006056,251149,45.90276911,-119.42951677
UMAT_0006084,253506,45.90271711,-119.41910629
UMAT_0006154,251165,45.9136896,-119.30487313
UMAT_0006221,251168,45.87369924,-119.28907183
UMAT_0006223,251170,45.88927581,-119.31687125
UMAT_0006225,251172,45.89331013,-119.24912979
UMAT_0006232,251179,45.83360121,-119.33440726
UMAT_0006235,251182,45.84270752,-119.34214011
UMAT_0006238,251185,45.84090973,-119.34475751
UMAT_0006241,251187,45.82239168,-119.29802974
UMAT_0006242,251188,45.80782172,-119.28766563
UMAT_0006243,251189,45.86655447,-119.33065152
UMAT_0006244,251190,45.87369924,-119.28907183
UMAT_0006246,251192,45.83798513,-119.33455796
UMAT_0006247,251193,45.83723149,-119.33439347
UMAT_0006250,251196,45.84270752,-119.34214011
UMAT_0006253,251199,45.84270752,-119.34214011
UMAT_0006255,251201,45.81303958,-119.25904868
UMAT_0006256,251202,45.84088611,-119.33955234
UMAT_0006291,251235,45.83573577,-119.33136083
UMAT_0006298,251242,45.85460023,-119.32250381
UMAT_0006309,251253,45.91002592,-119.31009448
UMAT_0006323,251267,45.81184262,-119.33433479
UMAT_0006328,251272,45.88169,-119.29308
UMAT_0006334,251278,45.79885918,-119.30060279
UMAT_0006350,251294,45.87733004,-119.29949671
UMAT_0006351,251295,45.8186411,-119.28249067
UMAT_0006352,251296,45.78253131,-119.29277583
UMAT_0006353,251297,45.85154698,-119.31866645
UMAT_0006356,251300,45.70208979,-119.2796694
UMAT_0006362,251306,45.80262065,-119.32659393
UMAT_0006371,251315,45.83654273,-119.33699553
UMAT_0006373,251317,45.9141634,-119.28576763
UMAT_0006394,251331,45.8366752,-119.26685371
UMAT_0006398,251335,45.69528268,-119.31328637
UMAT_0006407,251344,45.83732692,-119.33442014
UMAT_0006413,251350,45.83654996,-119.33116192
UMAT_0006414,251351,45.84250484,-119.32133447
UMAT_0006583,251420,45.87795308,-119.29354616
